event_id,player_id,player_first_name,player_last_name,placement,score
2012-010001,,Brian,Krog,1,285000
2012-010001,,Anders,Labich,2,203100
2012-010001,,Jesper,Willemoes Hansen,3,142900
2012-010001,,Matthias,Köhler,4,116900
2012-010001,,Isabel,Bahiano Steenholm,5,100700
2012-010001,,Jeppe,Stig Nielsen,6,83500
2012-010001,,Henrik,Krogh Nielsen,7,70800
2012-010001,2,Grant,Mahoney,8,70100
2012-010001,,Stefan,Persson,9,59400
2012-010001,,Karl-Edward,Ekeblad,10,54000
2012-010001,,Fritioff,Olssen,11,46500
2012-010001,,Martin,Faartoft,12,46200
2012-010001,,Tomáš,Široň,13,35700
2012-010001,,Jesper,Nøhr,14,23100
2012-010001,,Tina,Christensen,15,22900
2012-010001,,Caroline,Kopmanis,16,8900
2012-010001,,Sebastian,Lavallee,17,-3300
2012-010001,,Johan,Eidenvall,18,-33800
2012-010001,,Camilla,Dalsgaard,19,-36800
2012-010001,,Freddy,Christiansen,20,-54600
2012-010001,,Jasper,Germeys,21,-56700
2012-010001,,Matej,Labaš,22,-62000
2012-010001,,Daniel,Široň,23,-64500
2012-010001,,Kim,Iversen,24,-74000
2012-010001,,Robert,Bonde Jensen,25,-76600
2012-010001,,Mattias,Mikkola,26,-81800
2012-010001,,Henrik,Leth,27,-103700
2012-010001,,Frank,Rostved-Anberg,28,-107100
2012-010001,,Per,Hyyrynen,29,-151800
2012-010001,,Alexander,Nymark,30,-157800
2012-010001,,Lars,Therkelsen,31,-164500
2012-010001,,Juraj,Jerguš,32,-166100
